1,The Legend of Zelda: Tears of the Kingdom,Acción-Aventura,2023,1
2,Red Dead Redemption 2,Aventura,2018,2
3,The Witcher 3: Wild Hunt,RPG,2015,3
4,Uncharted 4: A Thief's End,Acción-Aventura,2016,4
5,Elden Ring,RPG,2022,5
6,Animal Crossing: New Horizons,Simulación,2020,1
7,The Elder Scrolls V: Skyrim,RPG,2011,6
8,Half-Life 2,FPS,2004,7
9,Final Fantasy VII Remake,RPG,2020,8
10,Spider-Man,Acción-Aventura,2018,9
11,Assassin's Creed Valhalla,Aventura,2020,10
12,Mass Effect 2,RPG,2010,11
13,World of Warcraft,MMORPG,2004,12
14,Resident Evil 4,Acción-Aventura,2023,13
15,Minecraft,Sandbox,2011,14